"Authorization transaction is required to void.","Authorization transaction is required to void."
"Can not retrieve requested gateway code","Can not retrieve requested gateway code"
"Data Transfer Key","Data Transfer Key"
"Debug","Debug"
"Enabled","Enabled"
"Gateway Basic URL","Gateway Basic URL"
"Gives effect only when Payment Bridge is active","Gives effect only when Payment Bridge is active"
"Gives effect only when payment bridge is active.","Gives effect only when payment bridge is active."
"IPN postback HTTP error: %s","IPN postback HTTP error: %s"
"IPN postback Validation error: %s","IPN postback Validation error: %s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Impossible to issue a refund transaction, because capture transaction does not exist."
"Merchant Code","Merchant Code"
"Merchant Key","Merchant Key"
"Payment Bridge","Payment Bridge"
"Payment Bridge Selected","Payment Bridge Selected"
"Payment Bridge authentication data is not present","Payment Bridge authentication data is not present"
"Payment Bridge service error.","Payment Bridge service error."
"Payment Bridge service error: %s","Payment Bridge service error: %s"
"Payment Method Code is not passed.","Payment Method Code is not passed."
"Unable to communicate with Payment Bridge service.","Unable to communicate with Payment Bridge service."
"Use via Payment Bridge","Use via Payment Bridge"
